Date,Open,High,Low,Close,Volume
03/19/2026,"304.01","308.06","302.35","307.13","25,075,830"
03/18/2026,"309.27","312.47","306.93","307.69","20,009,820"
03/17/2026,"305.86","311.42","305.50","310.92","21,955,170"
03/16/2026,"304.35","306.49","303.02","305.56","23,519,711"
03/13/2026,"307.01","307.69","300.44","302.28","23,693,090"
03/12/2026,"306.82","308.94","301.03","303.55","24,928,350"
03/11/2026,"306.75","311.42","305.92","308.70","24,125,711"
03/10/2026,"306.17","309.51","305.57","307.04","23,239,680"
03/09/2026,"294.36","306.80","294.08","306.36","29,312,150"
03/06/2026,"296.09","300.53","295.18","298.52","25,576,920"
03/05/2026,"303.04","303.30","297.99","300.88","35,752,320"
03/04/2026,"302.89","305.47","300.75","303.13","29,536,189"
03/03/2026,"298.59","303.94","296.71","303.58","35,496,961"
03/02/2026,"303.23","308.49","301.30","306.52","34,790,199"
02/27/2026,"304.14","312.37","303.80","311.76","44,640,641"
02/26/2026,"312.64","313.14","302.35","307.38","36,431,230"
02/25/2026,"312.06","313.64","309.44","312.90","29,963,619"
02/24/2026,"310.52","312.27","305.93","310.90","25,615,650"
02/23/2026,"319.05","319.52","309.87","311.49","31,422,971"
02/20/2026,"304.32","316.50","303.90","314.98","53,210,820"
02/19/2026,"301.82","305.47","300.04","302.85","25,834,400"
02/18/2026,"302.09","305.38","301.25","303.33","28,482,080"
02/17/2026,"300.04","304.44","296.25","302.02","39,247,559"
02/13/2026,"307.73","308.63","303.71","305.72","38,499,699"
02/12/2026,"312.09","316.24","307.20","309.00","47,761,289"
02/11/2026,"318.97","321.06","309.66","310.96","45,406,406"
02/10/2026,"320.97","321.67","314.61","318.58","39,170,008"
02/09/2026,"320.93","327.70","317.26","324.32","39,640,059"
02/06/2026,"327.18","330.38","319.92","322.86","56,380,480"
02/05/2026,"312.22","332.69","306.46","331.25","88,205,852"
02/04/2026,"342.96","343.31","328.52","333.04","70,618,398"
02/03/2026,"347.34","349.00","337.47","339.71","36,506,711"
02/02/2026,"336.22","344.83","335.63","343.69","32,006,051"
01/30/2026,"340.00","340.00","332.29","338.00","31,023,949"
01/29/2026,"340.30","342.29","326.54","338.25","39,785,609"
01/28/2026,"336.06","337.54","331.94","336.01","27,434,430"
01/27/2026,"335.37","337.91","333.48","334.55","21,636,160"
01/26/2026,"327.81","335.84","327.00","333.26","26,042,119"
01/23/2026,"332.49","333.69","327.45","327.93","27,279,971"
01/22/2026,"334.45","335.15","328.75","330.54","26,253,641"
01/21/2026,"320.92","332.48","319.35","328.38","35,386,602"
01/20/2026,"320.87","327.73","320.43","322.00","35,361,047"
01/16/2026,"334.41","334.65","327.70","330.00","40,341,641"
01/15/2026,"337.65","337.69","330.74","332.78","28,442,410"
01/14/2026,"335.06","336.52","330.48","335.84","28,525,570"
01/13/2026,"334.95","340.49","333.62","335.97","33,517,609"
01/12/2026,"325.80","334.04","325.00","331.86","33,923,930"
01/09/2026,"327.09","330.83","325.80","328.57","26,214,170"
01/08/2026,"328.97","330.32","321.50","325.44","31,896,100"
01/07/2026,"314.36","326.15","314.19","321.98","35,104,434"
01/06/2026,"316.40","320.94","311.78","314.34","31,212,100"
01/05/2026,"317.66","319.02","314.63","316.54","30,195,600"
01/02/2026,"316.90","322.50","310.33","315.15","32,009,391"
12/31/2025,"312.85","314.58","311.44","313.00","16,377,690"
12/30/2025,"312.50","316.95","312.46","313.85","17,380,891"
12/29/2025,"311.37","314.02","310.62","313.56","19,621,779"
12/26/2025,"314.48","315.09","312.28","313.51","10,899,020"
12/24/2025,"314.77","315.08","311.92","314.09","10,097,360"
12/23/2025,"309.63","314.94","309.32","314.35","25,478,670"
12/22/2025,"309.88","310.13","305.30","309.78","26,429,939"
12/19/2025,"301.73","307.25","300.97","307.16","59,943,238"
12/18/2025,"301.72","303.96","299.23","302.46","33,518,051"
12/17/2025,"308.01","308.09","296.12","296.72","43,930,359"
12/16/2025,"304.95","310.77","302.59","306.57","30,585,020"
12/15/2025,"311.32","311.42","304.88","308.22","29,151,891"
12/12/2025,"313.70","314.87","305.56","309.29","35,940,168"
12/11/2025,"320.08","321.12","308.60","312.43","42,353,699"
12/10/2025,"315.83","321.31","314.68","320.21","33,428,922"
12/09/2025,"312.37","317.99","311.90","317.08","30,194,029"
12/08/2025,"320.05","320.44","311.22","313.72","33,909,434"
12/05/2025,"319.49","323.16","319.17","321.27","28,851,711"
12/04/2025,"322.23","322.36","314.70","317.62","31,240,920"
12/03/2025,"315.89","321.58","314.10","319.63","41,838,320"
12/02/2025,"316.74","318.38","313.91","315.81","35,854,738"
12/01/2025,"317.70","319.85","313.89","314.89","39,133,400"
11/28/2025,"323.37","326.85","316.79","320.18","26,003,000"
11/26/2025,"320.68","324.50","316.79","319.95","51,373,359"
11/25/2025,"326.21","328.83","317.65","323.44","88,632,070"
11/24/2025,"311.13","319.48","309.60","318.58","85,165,117"
11/21/2025,"296.42","303.92","293.85","299.66","74,137,695"
11/20/2025,"304.54","306.42","288.67","289.45","62,025,219"
11/19/2025,"287.16","303.81","286.63","292.81","68,198,945"
11/18/2025,"287.92","288.80","278.20","284.28","49,158,738"
11/17/2025,"285.78","293.95","283.57","285.02","52,670,191"
11/14/2025,"271.41","278.56","270.70","276.41","31,647,230"
11/13/2025,"282.34","282.84","277.24","278.57","29,494,039"
11/12/2025,"291.68","292.01","283.69","286.71","24,829,920"
11/11/2025,"287.75","291.92","287.32","291.31","19,842,141"
11/10/2025,"284.42","290.80","282.86","290.10","29,557,311"
11/07/2025,"283.21","283.78","275.19","278.83","34,479,594"
11/06/2025,"285.33","288.35","281.14","284.75","37,173,648"
11/05/2025,"278.87","286.42","277.34","284.31","31,010,301"
11/04/2025,"276.75","281.27","276.26","277.54","30,078,369"
11/03/2025,"282.18","285.53","279.80","283.72","29,786,000"
10/31/2025,"283.21","286.00","277.03","281.19","39,267,953"
10/30/2025,"291.59","291.59","280.06","281.48","74,875,992"
10/29/2025,"267.75","275.34","267.67","274.57","43,580,281"
10/28/2025,"269.69","270.73","266.50","267.47","29,738,561"
10/27/2025,"264.82","270.14","264.28","269.27","35,235,230"
10/24/2025,"256.58","261.68","255.32","259.92","28,655,131"
10/23/2025,"252.98","255.04","251.85","253.08","19,901,430"
10/22/2025,"254.37","256.36","249.29","251.69","35,029,367"
10/21/2025,"254.74","254.88","244.15","250.46","47,312,102"
10/20/2025,"254.69","257.33","254.23","256.55","22,350,160"
10/17/2025,"250.76","254.22","247.81","253.30","29,671,631"
10/16/2025,"251.77","256.96","250.10","251.46","27,997,160"
10/15/2025,"247.25","252.11","245.99","251.03","27,007,689"
10/14/2025,"241.23","247.12","240.51","245.45","22,111,570"
10/13/2025,"240.21","244.50","239.71","244.15","24,995,029"
10/10/2025,"241.43","244.09","235.84","236.57","33,180,320"
10/09/2025,"244.47","244.76","239.15","241.53","27,892,090"
10/08/2025,"244.96","246.01","243.82","244.62","21,307,100"
